inspection_score,inspection_type,violation_id,violation_description,risk_category
81,Routine - Unscheduled,77185_20161205_103131,Moderate risk vermin infestation,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
75,Routine - Unscheduled,62064_20160411_103139,Improper food storage,Low Risk
73,Routine - Unscheduled,81309_20160219_103114,High risk vermin infestation,High Risk
96,Routine - Unscheduled,64101_20180725_103120,Moderate risk food holding temperature,Moderate Risk
90,Routine - Unscheduled,78184_20161206_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
82,Routine - Unscheduled,91473_20180227_103105,Improper cooling methods,High Risk
96,Routine - Unscheduled,94665_20180911_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,85927_20160212_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
90,Routine - Unscheduled,59407_20171207_103120,Moderate risk food holding temperature,Moderate Risk
82,Routine - Unscheduled,89686_20180227_103120,Moderate risk food holding temperature,Moderate Risk
88,Routine - Unscheduled,34102_20171212_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,3241_20160906_103120,Moderate risk food holding temperature,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
63,Routine - Unscheduled,2110_20160906_103133,Foods not protected from contamination,Moderate Risk
92,Routine - Unscheduled,74358_20180904_103133,Foods not protected from contamination,Moderate Risk
72,Routine - Unscheduled,59577_20160502_103102,Unclean hands or improper use of gloves,High Risk
92,Routine - Unscheduled,7528_20160518_103120,Moderate risk food holding temperature,Moderate Risk
71,Routine - Unscheduled,4960_20160413_103103,High risk food holding temperature,High Risk
91,Routine - Unscheduled,69288_20180907_103109,Unclean or unsanitary food contact surfaces,High Risk
92,Routine - Unscheduled,85480_20160629_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
72,Routine - Unscheduled,286_20160607_103150,Improper or defective plumbing,Low Risk
91,Routine - Unscheduled,5841_20160506_103114,High risk vermin infestation,High Risk
79,Routine - Unscheduled,36673_20160901_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94,Routine - Unscheduled,4542_20160603_103154,Unclean or degraded floors walls or ceilings,Low Risk
90,Routine - Unscheduled,76926_20160607_103120,Moderate risk food holding temperature,Moderate Risk
89,Routine - Unscheduled,76544_20160628_103105,Improper cooling methods,High Risk
79,Routine - Unscheduled,10625_20170927_103157,Food safety certificate or food handler card not available,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
77,Routine - Unscheduled,68831_20160325_103145,Improper storage of equipment utensils or linens,Low Risk
94,Routine - Unscheduled,65672_20180226_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,79829_20161207_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,76926_20160607_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
90,Routine - Unscheduled,78756_20160519_103139,Improper food storage,Low Risk
87,Routine - Unscheduled,60473_20180515_103144,Unapproved or unmaintained equipment or utensils,Low Risk
88,Routine - Unscheduled,2249_20171204_103138,Improper storage use or identification of toxic substances,Low Risk
87,Routine - Unscheduled,86271_20160628_103141,Improper food labeling or menu misrepresentation,Low Risk
98,Routine - Unscheduled,2050_20171207_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,61512_20160628_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
88,Routine - Unscheduled,68768_20160607_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,4479_20170105_103141,Improper food labeling or menu misrepresentation,Low Risk
77,Routine - Unscheduled,68454_20160223_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
92,Routine - Unscheduled,2144_20171212_103154,Unclean or degraded floors walls or ceilings,Low Risk
98,Routine - Unscheduled,502_20161206_103145,Improper storage of equipment utensils or linens,Low Risk
89,Routine - Unscheduled,302_20160902_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,20116_20160511_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
87,Routine - Unscheduled,2134_20161109_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
75,Routine - Unscheduled,62064_20160411_103129,Insufficient hot water or running water,Moderate Risk
92,Routine - Unscheduled,5313_20160518_103157,Food safety certificate or food handler card not available,Low Risk
83,Routine - Unscheduled,75681_20160608_103144,Unapproved or unmaintained equipment or utensils,Low Risk
72,Routine - Unscheduled,62308_20160203_103131,Moderate risk vermin infestation,Moderate Risk
73,Routine - Unscheduled,6619_20170104_103139,Improper food storage,Low Risk
90,Routine - Unscheduled,33700_20160412_103138,Improper storage use or identification of toxic substances,Low Risk
82,Routine - Unscheduled,1674_20160429_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
77,Routine - Unscheduled,1350_20160518_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
92,Routine - Unscheduled,79782_20160503_103139,Improper food storage,Low Risk
96,Routine - Unscheduled,7779_20180508_103147,Inadequate ventilation or lighting,Low Risk
81,Routine - Unscheduled,75523_20160511_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
94,Routine - Unscheduled,81077_20170928_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,78985_20160812_103154,Unclean or degraded floors walls or ceilings,Low Risk
74,Routine - Unscheduled,68865_20160628_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,62710_20160511_103144,Unapproved or unmaintained equipment or utensils,Low Risk
87,Routine - Unscheduled,20116_20161207_103103,High risk food holding temperature,High Risk
94,Routine - Unscheduled,3031_20160329_103157,Food safety certificate or food handler card not available,Low Risk
96,Routine - Unscheduled,4702_20180226_103131,Moderate risk vermin infestation,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
83,Routine - Unscheduled,16513_20180226_103144,Unapproved or unmaintained equipment or utensils,Low Risk
86,Routine - Unscheduled,3241_20160906_103131,Moderate risk vermin infestation,Moderate Risk
96,Routine - Unscheduled,4920_20160810_103142,Unclean nonfood contact surfaces,Low Risk
73,Routine - Unscheduled,77564_20160503_103102,Unclean hands or improper use of gloves,High Risk
90,Routine - Unscheduled,3429_20161202_103139,Improper food storage,Low Risk
94,Routine - Unscheduled,60898_20160510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,78756_20160519_103150,Improper or defective plumbing,Low Risk
92,Routine - Unscheduled,82009_20160304_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
86,Routine - Unscheduled,64380_20160414_103144,Unapproved or unmaintained equipment or utensils,Low Risk
93,Routine - Unscheduled,79193_20160502_103109,Unclean or unsanitary food contact surfaces,High Risk
92,Routine - Unscheduled,69207_20160412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
91,Routine - Unscheduled,5951_20160413_103103,High risk food holding temperature,High Risk
87,Routine - Unscheduled,2134_20171211_103103,High risk food holding temperature,High Risk
70,Routine - Unscheduled,79272_20160929_103133,Foods not protected from contamination,Moderate Risk
90,Routine - Unscheduled,2110_20180724_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
96,Routine - Unscheduled,90233_20171208_103157,Food safety certificate or food handler card not available,Low Risk
96,Routine - Unscheduled,90015_20180725_103120,Moderate risk food holding temperature,Moderate Risk
86,Routine - Unscheduled,64835_20171211_103132,Improper thawing methods,Moderate Risk
89,Routine - Unscheduled,74399_20161206_103120,Moderate risk food holding temperature,Moderate Risk
92,Routine - Unscheduled,84759_20171207_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
63,Routine - Unscheduled,2110_20160906_103131,Moderate risk vermin infestation,Moderate Risk
92,Routine - Unscheduled,69181_20160330_103144,Unapproved or unmaintained equipment or utensils,Low Risk
92,Routine - Unscheduled,89969_20180228_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
92,Routine - Unscheduled,5144_20180718_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
100,Routine - Unscheduled,95_20180509_103100,None,No Risk
84,Routine - Unscheduled,4672_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
96,Routine - Unscheduled,95113_20180911_103139,Improper food storage,Low Risk
92,Routine - Unscheduled,18079_20160502_103139,Improper food storage,Low Risk
85,Routine - Unscheduled,76685_20180515_103103,High risk food holding temperature,High Risk
88,Routine - Unscheduled,40217_20160502_103131,Moderate risk vermin infestation,Moderate Risk
84,Routine - Unscheduled,1800_20171207_103133,Foods not protected from contamination,Moderate Risk
85,Routine - Unscheduled,9273_20161018_103144,Unapproved or unmaintained equipment or utensils,Low Risk
83,Routine - Unscheduled,3267_20180510_103108,Contaminated or adulterated food,High Risk
92,Routine - Unscheduled,18079_20160502_103131,Moderate risk vermin infestation,Moderate Risk
70,Routine - Unscheduled,79272_20160929_103108,Contaminated or adulterated food,High Risk
94,Routine - Unscheduled,3443_20180510_103144,Unapproved or unmaintained equipment or utensils,Low Risk
90,Routine - Unscheduled,774_20161205_103157,Food safety certificate or food handler card not available,Low Risk
87,Routine - Unscheduled,96529_20180905_103162,Other low risk violation,Low Risk
77,Routine - Unscheduled,1350_20160518_103132,Improper thawing methods,Moderate Risk
94,Routine - Unscheduled,89922_20171212_103144,Unapproved or unmaintained equipment or utensils,Low Risk
96,Routine - Unscheduled,1103_20180914_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85,Routine - Unscheduled,2755_20161205_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
87,Routine - Unscheduled,79406_20160412_103133,Foods not protected from contamination,Moderate Risk
68,Routine - Unscheduled,69762_20160413_103102,Unclean hands or improper use of gloves,High Risk
98,Routine - Unscheduled,86362_20160923_103139,Improper food storage,Low Risk
86,Routine - Unscheduled,6660_20171214_103132,Improper thawing methods,Moderate Risk
76,Routine - Unscheduled,85952_20161018_103129,Insufficient hot water or running water,Moderate Risk
92,Routine - Unscheduled,65238_20161206_103133,Foods not protected from contamination,Moderate Risk
94,Routine - Unscheduled,38798_20170928_103144,Unapproved or unmaintained equipment or utensils,Low Risk
88,Routine - Unscheduled,14568_20160502_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
66,Routine - Unscheduled,62578_20171207_103141,Improper food labeling or menu misrepresentation,Low Risk
77,Routine - Unscheduled,68454_20160223_103154,Unclean or degraded floors walls or ceilings,Low Risk
83,Routine - Unscheduled,9164_20160812_103157,Food safety certificate or food handler card not available,Low Risk
88,Routine - Unscheduled,3659_20160603_103120,Moderate risk food holding temperature,Moderate Risk
84,Routine - Unscheduled,4672_20161206_103109,Unclean or unsanitary food contact surfaces,High Risk
94,Routine - Unscheduled,79753_20161014_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
74,Routine - Unscheduled,68865_20160628_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
90,Routine - Unscheduled,61856_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
92,Routine - Unscheduled,60544_20160929_103120,Moderate risk food holding temperature,Moderate Risk
82,Routine - Unscheduled,99_20171207_103131,Moderate risk vermin infestation,Moderate Risk
94,Routine - Unscheduled,65692_20180511_103147,Inadequate ventilation or lighting,Low Risk
96,Routine - Unscheduled,63136_20161109_103131,Moderate risk vermin infestation,Moderate Risk
82,Routine - Unscheduled,96591_20180723_103109,Unclean or unsanitary food contact surfaces,High Risk
71,Routine - Unscheduled,58673_20160412_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
94,Routine - Unscheduled,76545_20170412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
77,Routine - Unscheduled,68454_20160223_103120,Moderate risk food holding temperature,Moderate Risk
89,Routine - Unscheduled,94848_20180510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
92,Routine - Unscheduled,3228_20160330_103157,Food safety certificate or food handler card not available,Low Risk
85,Routine - Unscheduled,66717_20180222_103114,High risk vermin infestation,High Risk
94,Routine - Unscheduled,4542_20160603_103136,Unsanitary employee garments hair or nails,Low Risk
83,Routine - Unscheduled,81987_20160627_103157,Food safety certificate or food handler card not available,Low Risk
